CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723066200942,1723066201705,1723066202126,4m,8,face1,face1,True
1723066202638,1723066203981,1723066204457,0.5m,8,face2,face2,True
1723066204970,1723066205731,1723066206404,0.5m,8,face1,face1,True
1723066206906,1723066207838,1723066208667,8m,8,face2,face2,True
1723066209178,1723066210759,1723066211342,8m,8,face2,face3,False
1723066211856,1723066213159,1723066213898,4m,8,face1,face1,True
1723066214410,1723066215541,1723066217175,1m,8,face3,face3,True
1723066217677,1723066219074,1723066219931,4m,8,face1,face1,True
1723066220435,1723066221252,1723066222463,2m,8,face3,face3,True
1723066222976,1723066224649,1723066225084,4m,8,face2,face2,True
1723066225597,1723066226385,1723066227005,8m,8,face3,face2,False
1723066227519,1723066229174,1723066229792,4m,8,face3,face3,True
