CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723068434498,1723068435765,1723068436266,1m,4,face3,face2,False
1723068436769,1723068437568,1723068438265,1m,8,face2,face2,True
1723068438772,1723068439673,1723068441489,1m,1,face1,face1,True
1723068441993,1723068443229,1723068443948,1m,1,face3,face2,False
1723068444451,1723068445482,1723068446021,1m,2,face1,face2,False
1723068446531,1723068447521,1723068448502,1m,4,face3,face3,True
1723068449013,1723068450541,1723068451260,1m,2,face2,face2,True
1723068451771,1723068452987,1723068455582,1m,4,face3,face3,True
1723068456090,1723068457748,1723068458832,1m,4,face3,face3,True
1723068459334,1723068460197,1723068461316,1m,1,face1,face3,False
1723068461821,1723068462940,1723068463597,1m,8,face1,face1,True
1723068464099,1723068465424,1723068466133,1m,8,face3,face3,True
1723068466634,1723068468075,1723068468720,1m,4,face2,face2,True
1723068469222,1723068470315,1723068471358,1m,4,face1,face1,True
1723068471863,1723068473087,1723068473881,1m,4,face3,face3,True
1723068474391,1723068475417,1723068476034,1m,4,face3,face3,True
1723068476539,1723068477850,1723068478430,1m,2,face2,face2,True
1723068478934,1723068480579,1723068481132,1m,1,face1,face2,False
1723068481640,1723068483214,1723068483972,1m,4,face1,face1,True
1723068484484,1723068485615,1723068486683,1m,2,face2,face2,True
1723068487183,1723068487956,1723068488703,1m,1,face1,face3,False
1723068489207,1723068490012,1723068490458,1m,4,face1,face1,True
1723068490968,1723068492628,1723068493176,1m,2,face2,face2,True
1723068493688,1723068494681,1723068495143,1m,8,face2,face2,True
1723068495654,1723068497331,1723068497946,1m,4,face3,face3,True
