CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723066706762,1723066707525,1723066708024,2m,4,word2,word2,True
1723066708539,1723066709644,1723066710085,0.5m,16,word1,word1,True
1723066710595,1723066711725,1723066712213,4m,2,word1,word1,True
1723066712726,1723066713753,1723066714239,0.5m,16,word3,word3,True
1723066714740,1723066715491,1723066716164,8m,1,word2,word1,False
1723066716676,1723066718229,1723066718743,2m,4,word3,word3,True
1723066719256,1723066719993,1723066720690,4m,2,word2,word2,True
1723066721191,1723066722614,1723066723076,0.5m,16,word1,word1,True
1723066723590,1723066724840,1723066725316,4m,2,word3,word3,True
1723066725828,1723066726985,1723066729850,1m,8,word3,word3,True
1723066730362,1723066731350,1723066732074,4m,2,word2,word2,True
1723066732589,1723066733429,1723066734732,4m,2,word3,word3,True
1723066735235,1723066736511,1723066736984,1m,8,word3,word3,True
1723066737497,1723066739194,1723066739762,1m,8,word3,word3,True
1723066740275,1723066741877,1723066742272,1m,8,word3,word3,True
1723066742772,1723066743720,1723066744221,1m,8,word1,word1,True
1723066744723,1723066745813,1723066746392,8m,1,word3,word3,True
1723066746904,1723066748260,1723066748958,4m,2,word3,word3,True
1723066749458,1723066750629,1723066751171,0.5m,16,word2,word2,True
1723066751673,1723066752746,1723066753460,1m,8,word2,word2,True
1723066753972,1723066755341,1723066755960,8m,1,word1,word1,True
1723066756474,1723066757566,1723066758475,8m,1,word2,word2,True
1723066758990,1723066760345,1723066760913,0.5m,16,word1,word1,True
1723066761425,1723066763019,1723066763704,8m,1,word1,word1,True
1723066764217,1723066765783,1723066766284,1m,8,word1,word1,True
