CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723068860412,1723068861536,1723068862144,1m,1,word3,word3,True
1723068862655,1723068863442,1723068863940,1m,8,word2,word2,True
1723068864452,1723068865840,1723068866378,1m,4,word3,word3,True
1723068866890,1723068867644,1723068868197,1m,16,word3,word3,True
1723068868709,1723068870336,1723068870807,1m,1,word3,word3,True
1723068871319,1723068872720,1723068873255,1m,2,word2,word2,True
1723068873767,1723068874739,1723068875210,1m,8,word3,word2,False
1723068875722,1723068876761,1723068877207,1m,8,word3,word3,True
1723068877719,1723068878705,1723068879195,1m,16,word2,word2,True
1723068879708,1723068880811,1723068881431,1m,8,word1,word1,True
1723068881943,1723068883355,1723068883866,1m,4,word2,word2,True
1723068884379,1723068885430,1723068885984,1m,2,word1,word1,True
1723068886495,1723068887754,1723068888380,1m,4,word2,word2,True
1723068888889,1723068890197,1723068890709,1m,8,word3,word3,True
1723068891219,1723068892273,1723068892812,1m,4,word1,word1,True
1723068893324,1723068894977,1723068895596,1m,16,word1,word1,True
1723068896109,1723068897711,1723068898236,1m,16,word3,word3,True
1723068898750,1723068900154,1723068900667,1m,4,word1,word1,True
1723068901178,1723068902399,1723068902886,1m,1,word1,word1,True
1723068903397,1723068904145,1723068904644,1m,16,word1,word1,True
1723068905156,1723068906334,1723068907002,1m,1,word1,word1,True
1723068907504,1723068909141,1723068909627,1m,8,word3,word3,True
1723068910140,1723068911831,1723068912436,1m,1,word2,word2,True
1723068912938,1723068913961,1723068914486,1m,2,word3,word3,True
1723068914997,1723068915720,1723068916402,1m,2,word3,word3,True
