CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723002980797,1723002981917,1723002982650,2m,8,face1,face1,True
1723002983155,1723002984537,1723002985066,4m,8,face2,face2,True
1723002985575,1723002986467,1723002987089,4m,8,face1,face3,False
1723002987590,1723002988885,1723002990672,0.5m,8,face1,face1,True
1723002991175,1723002991985,1723002992728,2m,8,face2,face2,True
1723002993236,1723002994809,1723002995668,1m,8,face1,face1,True
1723002996170,1723002997385,1723002998578,2m,8,face3,face3,True
1723002999084,1723003000337,1723003000977,1m,8,face3,face3,True
1723003001479,1723003002535,1723003003088,8m,8,face3,face3,True
1723003003604,1723003004484,1723003005100,0.5m,8,face2,face2,True
1723003005605,1723003006388,1723003007244,2m,8,face1,face1,True
1723003007751,1723003009156,1723003009756,8m,8,face2,face2,True
1723003010267,1723003011221,1723003011936,4m,8,face3,face3,True
1723003012444,1723003013285,1723003014703,4m,8,face1,face1,True
1723003015206,1723003016263,1723003016849,0.5m,8,face3,face3,True
1723003017350,1723003018090,1723003018737,1m,8,face3,face3,True
1723003019243,1723003020566,1723003021398,2m,8,face1,face1,True
1723003021902,1723003022734,1723003023474,0.5m,8,face3,face1,False
1723003023988,1723003025285,1723003025972,2m,8,face1,face3,False
1723003026479,1723003027793,1723003028323,8m,8,face3,face3,True
1723003028824,1723003030479,1723003031010,1m,8,face2,face2,True
1723003031520,1723003032410,1723003032956,0.5m,8,face2,face2,True
1723003033465,1723003035138,1723003035913,2m,8,face2,face2,True
1723003036420,1723003037523,1723003039644,1m,8,face3,face1,False
1723003040147,1723003041852,1723003042347,4m,8,face3,face3,True
