CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723003545116,1723003546364,1723003547361,1m,8,face1,face1,True
1723003547866,1723003548877,1723003549516,1m,4,face3,face3,True
1723003550035,1723003551208,1723003552080,1m,1,face2,face2,True
1723003552583,1723003553881,1723003554492,1m,8,face3,face3,True
1723003555007,1723003556699,1723003557330,1m,4,face2,face2,True
1723003557836,1723003558831,1723003559416,1m,8,face3,face2,False
1723003559930,1723003561135,1723003561676,1m,8,face3,face3,True
1723003562181,1723003563569,1723003564322,1m,16,face1,face1,True
1723003564835,1723003566530,1723003567021,1m,16,face2,face2,True
1723003567532,1723003569135,1723003569750,1m,4,face2,face2,True
1723003570255,1723003571602,1723003572301,1m,4,face3,face3,True
1723003572813,1723003573676,1723003574310,1m,1,face2,face2,True
1723003574818,1723003575572,1723003576289,1m,1,face3,face3,True
1723003576796,1723003577758,1723003578252,1m,8,face1,face1,True
1723003578766,1723003579800,1723003580398,1m,4,face3,face3,True
1723003580903,1723003582233,1723003582755,1m,1,face2,face2,True
1723003583276,1723003584821,1723003585494,1m,8,face2,face2,True
1723003586007,1723003587649,1723003588245,1m,2,face2,face2,True
1723003588753,1723003590124,1723003590663,1m,1,face2,face2,True
1723003591169,1723003592380,1723003593025,1m,8,face3,face3,True
1723003593534,1723003594836,1723003595442,1m,1,face2,face2,True
1723003595954,1723003596853,1723003597403,1m,1,face2,face2,True
1723003597914,1723003598881,1723003599450,1m,16,face1,face1,True
1723003599954,1723003600952,1723003601501,1m,1,face2,face3,False
1723003602010,1723003603509,1723003603953,1m,8,face2,face2,True
