CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723003403733,1723003405015,1723003405492,2m,4,word1,word1,True
1723003405999,1723003407501,1723003408078,4m,2,word1,word1,True
1723003408584,1723003409979,1723003410515,1m,8,word2,word2,True
1723003411027,1723003412350,1723003412926,0.5m,16,word2,word2,True
1723003413431,1723003414769,1723003415359,8m,1,word1,word1,True
1723003415863,1723003417148,1723003417710,0.5m,16,word2,word2,True
1723003418220,1723003419921,1723003420400,2m,4,word1,word1,True
1723003420913,1723003422361,1723003422883,4m,2,word2,word2,True
1723003423394,1723003424929,1723003425603,2m,4,word3,word3,True
1723003426109,1723003427179,1723003427770,8m,1,word1,word1,True
1723003428272,1723003429848,1723003430300,4m,2,word2,word2,True
1723003430803,1723003432435,1723003432999,4m,2,word1,word1,True
1723003433513,1723003434257,1723003434962,0.5m,16,word3,word3,True
1723003435463,1723003436672,1723003437196,0.5m,16,word2,word2,True
1723003437703,1723003439082,1723003439592,1m,8,word2,word2,True
1723003440094,1723003441371,1723003441965,4m,2,word1,word1,True
1723003442470,1723003443891,1723003444411,1m,8,word3,word2,False
1723003444916,1723003446268,1723003446861,0.5m,16,word2,word2,True
1723003447366,1723003448660,1723003449194,8m,1,word2,word2,True
1723003449696,1723003450695,1723003451298,8m,1,word1,word1,True
1723003451809,1723003452694,1723003453172,8m,1,word1,word1,True
1723003453674,1723003454492,1723003455067,1m,8,word2,word2,True
1723003455583,1723003456328,1723003456877,4m,2,word1,word1,True
1723003457383,1723003458732,1723003459239,4m,2,word3,word3,True
1723003459742,1723003461032,1723003461539,2m,4,word2,word2,True
