CueShowTime,ObjShowTime,ReactionTime,Location,Scaling,StimType,Guess,Correct
1723003677738,1723003679464,1723003679929,1m,1,word1,word1,True
1723003680431,1723003681713,1723003682150,1m,2,word2,word2,True
1723003682654,1723003683621,1723003684048,1m,4,word3,word2,False
1723003684559,1723003685826,1723003686350,1m,16,word1,word1,True
1723003686852,1723003687853,1723003688321,1m,4,word1,word1,True
1723003688826,1723003690070,1723003690537,1m,16,word2,word2,True
1723003691040,1723003692463,1723003692845,1m,2,word3,word3,True
1723003693354,1723003694795,1723003695290,1m,2,word2,word2,True
1723003695791,1723003696680,1723003697118,1m,1,word3,word3,True
1723003697629,1723003698646,1723003699128,1m,4,word2,word2,True
1723003699633,1723003701344,1723003701926,1m,1,word3,word3,True
1723003702439,1723003703388,1723003703897,1m,2,word1,word1,True
1723003704403,1723003705509,1723003706072,1m,4,word2,word2,True
1723003706586,1723003707629,1723003708125,1m,1,word1,word1,True
1723003708637,1723003709896,1723003710420,1m,8,word1,word1,True
1723003710928,1723003712527,1723003712965,1m,1,word1,word1,True
1723003713473,1723003714478,1723003715102,1m,2,word3,word3,True
1723003715604,1723003716553,1723003717757,1m,8,word2,word2,True
1723003718259,1723003719126,1723003719805,1m,16,word3,word3,True
1723003720308,1723003721063,1723003721880,1m,2,word2,word2,True
1723003722386,1723003724097,1723003724720,1m,1,word2,word2,True
1723003725222,1723003726509,1723003727061,1m,16,word1,word1,True
1723003727572,1723003728869,1723003729393,1m,8,word1,word1,True
1723003729904,1723003731283,1723003731904,1m,1,word2,word2,True
1723003732407,1723003734004,1723003734624,1m,16,word3,word3,True
