cpuID,file,Trials
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtfaceResizertData-2024-08-06-20-55-45.csv,25
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtfaceNoResizertData-2024-08-06-20-58-06.csv,25
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtwordResizertData-2024-08-06-21-00-08.csv,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtwordResizertData-2024-08-06-21-01-08.csv,25
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtwordNoResizertData-2024-08-06-21-03-01.csv,25
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtfaceScalingrtData-2024-08-06-21-05-23.csv,25
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtwordScalingrtData-2024-08-06-21-07-38.csv,25
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,,0
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,Mingdatest-overtwordScalingrtData-2024-08-07-14-23-18.csv,5
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,JulianDemoFNR-faceResizertData-2024-08-07-14-29-19.csv,12
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,JulianDemoFNR-faceNoResizertData-2024-08-07-14-32-12.csv,25
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,JulianDemoWR-wordResizertData-2024-08-07-14-34-49.csv,25
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,KhushiDemoWNR-wordNoResizertData-2024-08-07-14-37-46.csv,25
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,,0
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,,0
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,KhushiDemoFaceScale-faceScalingrtData-2024-08-07-15-06-43.csv,25
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,KhushiDemoWS-wordScalingrtData-2024-08-07-15-09-14.csv,5
EMC173-1,7c865bb58e0387bec521f4cd3272617aa363e4f1,KhushiDemoWordScale-wordScalingrtData-2024-08-07-15-13-50.csv,25
