CueShowTime,ObjShowTime,ReactionTime,Eccentricity,VerticalEccentricity,StimType,Guess,Correct
1722995330206,1722995331524,1722995332131,20,15,CanvasE,CanvasE,True
1722995332635,1722995334126,1722995334888,-30,-30,CanvasE,CanvasE,True
1722995335391,1722995336817,1722995337569,0,30,CanvasE,CanvasE,True
1722995338084,1722995339632,1722995340160,-10,-15,CanvasP,CanvasB,False
1722995340668,1722995341742,1722995342258,-10,15,CanvasB,CanvasB,True
1722995342765,1722995344312,1722995344878,20,30,CanvasP,CanvasP,True
1722995345390,1722995346569,1722995347032,10,-15,CanvasP,CanvasP,True
1722995347539,1722995348311,1722995348877,0,15,CanvasP,CanvasP,True
1722995349387,1722995350283,1722995350757,-10,-15,CanvasE,CanvasE,True
1722995351260,1722995352313,1722995353000,-30,-30,CanvasP,CanvasP,True
1722995353510,1722995355128,1722995355670,-20,15,CanvasE,CanvasE,True
1722995356181,1722995357148,1722995357677,0,-30,CanvasB,CanvasB,True
1722995358177,1722995359845,1722995360385,30,-30,CanvasP,CanvasP,True
1722995360893,1722995362414,1722995362822,-20,0,CanvasB,CanvasE,False
1722995363331,1722995364309,1722995364861,20,15,CanvasB,CanvasB,True
1722995365374,1722995366988,1722995367627,0,-30,CanvasP,CanvasP,True
1722995368134,1722995369741,1722995370230,30,-30,CanvasE,CanvasE,True
1722995370740,1722995372079,1722995372825,30,30,CanvasP,CanvasP,True
1722995373328,1722995374032,1722995374625,30,0,CanvasB,CanvasB,True
1722995375134,1722995376197,1722995377152,20,-30,CanvasP,CanvasP,True
1722995377659,1722995378460,1722995379155,0,-15,CanvasP,CanvasP,True
1722995379661,1722995380826,1722995381534,30,-30,CanvasE,CanvasE,True
1722995382045,1722995383431,1722995384183,20,30,CanvasP,CanvasP,True
1722995384693,1722995385427,1722995386089,-10,30,CanvasE,CanvasE,True
1722995386591,1722995387458,1722995388185,-10,15,CanvasB,CanvasB,True
1722995388690,1722995390333,1722995390930,-20,-15,CanvasP,CanvasP,True
1722995391441,1722995392848,1722995393511,-30,0,CanvasB,CanvasB,True
1722995394023,1722995395257,1722995395712,-10,15,CanvasB,CanvasB,True
1722995396227,1722995397409,1722995397936,30,-30,CanvasE,CanvasP,False
1722995398448,1722995399725,1722995400363,-30,-15,CanvasB,CanvasB,True
1722995400878,1722995402545,1722995403128,-10,-15,CanvasB,CanvasB,True
1722995403642,1722995404358,1722995404924,-20,15,CanvasP,CanvasP,True
1722995405432,1722995406259,1722995406958,-20,30,CanvasB,CanvasB,True
1722995407467,1722995408459,1722995409217,30,30,CanvasB,CanvasB,True
1722995409729,1722995410911,1722995411648,-20,-30,CanvasE,CanvasE,True
1722995412157,1722995413766,1722995414382,30,30,CanvasP,CanvasP,True
1722995414895,1722995416290,1722995416667,0,15,CanvasE,CanvasB,False
1722995417179,1722995418832,1722995419248,20,-15,CanvasE,CanvasE,True
1722995419758,1722995420596,1722995421177,-30,-30,CanvasB,CanvasB,True
1722995421691,1722995423111,1722995423689,10,-30,CanvasE,CanvasE,True
1722995424198,1722995425026,1722995425536,0,15,CanvasP,CanvasP,True
1722995426046,1722995427762,1722995428303,0,15,CanvasE,CanvasE,True
1722995428806,1722995430403,1722995431196,30,-30,CanvasP,CanvasP,True
1722995431704,1722995432544,1722995433182,-10,-30,CanvasE,CanvasE,True
1722995433692,1722995434990,1722995435599,-20,-15,CanvasP,CanvasP,True
1722995436105,1722995436864,1722995437376,0,15,CanvasP,CanvasP,True
1722995437879,1722995439246,1722995439784,20,30,CanvasE,CanvasE,True
1722995440289,1722995441954,1722995442462,0,30,CanvasE,CanvasE,True
1722995442972,1722995443848,1722995444384,-30,15,CanvasB,CanvasB,True
1722995444891,1722995446329,1722995446872,-20,-15,CanvasP,CanvasP,True
