cpuID,file,Trials
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda1-overtrtData-2024-08-06-18-47-27.csv,50
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,-overtrtData-2024-08-06-19-05-37.csv,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,-overtrtData-2024-08-06-19-08-06.csv,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,asdf-overtrtData-2024-08-06-19-09-35.csv,1
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,,0
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda2-overtrtData-2024-08-06-19-25-08.csv,5
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,Mingda-overtrtData-2024-08-06-19-27-05.csv,50
DESKTOP-BNVQNRU,7b616abe3b1975b7945ac51bb461532b8e4fd2d5,-overtrtData-2024-08-06-19-31-26.csv,5
