CueShowTime,ObjShowTime,ReactionTime,SentenceNum
1723000012857,1723000013075,1723000014627,1
1723000015138,1723000015356,1723000016757,2
1723000017265,1723000017480,1723000018844,3
1723000019351,1723000019569,1723000021754,4
1723000022267,1723000022485,1723000023876,5
1723000024381,1723000024600,1723000025719,6
1723000026225,1723000026445,1723000027678,7
1723000028179,1723000028393,1723000029414,8
1723000029920,1723000030137,1723000031018,9
1723000031520,1723000031737,1723000032937,10
1723000033445,1723000033661,1723000034903,11
1723000035412,1723000035631,1723000036871,12
1723000037386,1723000037601,1723000038980,13
1723000039493,1723000039711,1723000040381,14
