CueShowTime,ObjShowTime,ReactionTime,SentenceNum
1722998367808,1722998368027,1722998369352,1
1722998369854,1722998370073,1722998371080,2
1722998371582,1722998371802,1722998372631,3
1722998373140,1722998373358,1722998374158,4
1722998374668,1722998374890,1722998375581,5
1722998376090,1722998376310,1722998376940,6
1722998377451,1722998377674,1722998378364,7
1722998378872,1722998379090,1722998379768,8
1722998380281,1722998380500,1722998380898,9
1722998381399,1722998381619,1722998382225,10
1722998382739,1722998382957,1722998383468,11
1722998383979,1722998384199,1722998384819,12
1722998385333,1722998385553,1722998386223,13
1722998386735,1722998386952,1722998387487,14
1722998387993,1722998388212,1722998388850,15
1722998389355,1722998389575,1722998390208,16
1722998390719,1722998390935,1722998391587,17
1722998392090,1722998392310,1722998392809,18
1722998393320,1722998393540,1722998394169,19
1722998394678,1722998394899,1722998395403,20
1722998395914,1722998396134,1722998396580,21
1722998397091,1722998397312,1722998397737,22
1722998398242,1722998398464,1722998399050,23
1722998399558,1722998399780,1722998400424,24
1722998400929,1722998401148,1722998401850,25
1722998402351,1722998402569,1722998403192,26
1722998403697,1722998403916,1722998404488,27
1722998404998,1722998405218,1722998405736,28
1722998406245,1722998406466,1722998407181,29
1722998407687,1722998407903,1722998408611,30
1722998409115,1722998409336,1722998410110,31
1722998410619,1722998410836,1722998411636,32
1722998412136,1722998412359,1722998413124,33
1722998413633,1722998413852,1722998414531,34
1722998415034,1722998415252,1722998415966,35
1722998416468,1722998416687,1722998417120,36
1722998417632,1722998417851,1722998418641,37
1722998419150,1722998419370,1722998420015,38
1722998420522,1722998420742,1722998421464,39
1722998421967,1722998422187,1722998422938,40
1722998423446,1722998423668,1722998424399,41
1722998424911,1722998425132,1722998425936,42
1722998426442,1722998426663,1722998427060,43
1722998427570,1722998427791,1722998428400,44
1722998428909,1722998429128,1722998429673,45
1722998430174,1722998430393,1722998430825,46
1722998431326,1722998431547,1722998432179,47
1722998432686,1722998432904,1722998433401,48
1722998433908,1722998434126,1722998434611,49
1722998435116,1722998435336,1722998435953,50
